Date/time,GTI;humidity;Avg,GTI;humidity;Max,GTI;humidity;Min,GTI;humidity;StdDev,GTI;humidity;Count,AlbedoDown;humidity;Avg,AlbedoDown;humidity;Max,AlbedoDown;humidity;Min,AlbedoDown;humidity;StdDev,AlbedoDown;humidity;Count,AldedoUp;humidity;Avg,AldedoUp;humidity;Max,AldedoUp;humidity;Min,AldedoUp;humidity;StdDev,AldedoUp;humidity;Count,GTI;temperature;Avg,GTI;temperature;Max,GTI;temperature;Min,GTI;temperature;StdDev,GTI;temperature;Count,AlbedoDown;temperature;Avg,AlbedoDown;temperature;Max,AlbedoDown;temperature;Min,AlbedoDown;temperature;StdDev,AlbedoDown;temperature;Count,AldedoUp;temperature;Avg,AldedoUp;temperature;Max,AldedoUp;temperature;Min,AldedoUp;temperature;StdDev,AldedoUp;temperature;Count,GTI;temperature Pt100;Avg,GTI;temperature Pt100;Max,GTI;temperature Pt100;Min,GTI;temperature Pt100;StdDev,GTI;temperature Pt100;Count,AlbedoDown;temperature Pt100;Avg,AlbedoDown;temperature Pt100;Max,AlbedoDown;temperature Pt100;Min,AlbedoDown;temperature Pt100;StdDev,AlbedoDown;temperature Pt100;Count,AldedoUp;temperature Pt100;Avg,AldedoUp;temperature Pt100;Max,AldedoUp;temperature Pt100;Min,AldedoUp;temperature Pt100;StdDev,AldedoUp;temperature Pt100;Count,GTI;solar_irradiance;Avg,GTI;solar_irradiance;Max,GTI;solar_irradiance;Min,GTI;solar_irradiance;StdDev,GTI;solar_irradiance;Count,AlbedoDown;solar_irradiance;Avg,AlbedoDown;solar_irradiance;Max,AlbedoDown;solar_irradiance;Min,AlbedoDown;solar_irradiance;StdDev,AlbedoDown;solar_irradiance;Count,AldedoUp;solar_irradiance;Avg,AldedoUp;solar_irradiance;Max,AldedoUp;solar_irradiance;Min,AldedoUp;solar_irradiance;StdDev,AldedoUp;solar_irradiance;Count,GTI;voltage Output;Avg,GTI;voltage Output;Max,GTI;voltage Output;Min,GTI;voltage Output;StdDev,GTI;voltage Output;Count,AlbedoDown;voltage Output;Avg,AlbedoDown;voltage Output;Max,AlbedoDown;voltage Output;Min,AlbedoDown;voltage Output;StdDev,AlbedoDown;voltage Output;Count,AldedoUp;voltage Output;Avg,AldedoUp;voltage Output;Max,AldedoUp;voltage Output;Min,AldedoUp;voltage Output;StdDev,AldedoUp;voltage Output;Count,GTI;inclination_angle X;Avg,GTI;inclination_angle X;Max,GTI;inclination_angle X;Min,GTI;inclination_angle X;StdDev,GTI;inclination_angle X;Count,AlbedoDown;inclination_angle X;Avg,AlbedoDown;inclination_angle X;Max,AlbedoDown;inclination_angle X;Min,AlbedoDown;inclination_angle X;StdDev,AlbedoDown;inclination_angle X;Count,AldedoUp;inclination_angle X;Avg,AldedoUp;inclination_angle X;Max,AldedoUp;inclination_angle X;Min,AldedoUp;inclination_angle X;StdDev,AldedoUp;inclination_angle X;Count,GTI;inclination_angle Y;Avg,GTI;inclination_angle Y;Max,GTI;inclination_angle Y;Min,GTI;inclination_angle Y;StdDev,GTI;inclination_angle Y;Count,AlbedoDown;inclination_angle Y;Avg,AlbedoDown;inclination_angle Y;Max,AlbedoDown;inclination_angle Y;Min,AlbedoDown;inclination_angle Y;StdDev,AlbedoDown;inclination_angle Y;Count,AldedoUp;inclination_angle Y;Avg,AldedoUp;inclination_angle Y;Max,AldedoUp;inclination_angle Y;Min,AldedoUp;inclination_angle Y;StdDev,AldedoUp;inclination_angle Y;Count,R1C1_1;Count,R1C1_2;Count,R1C1_3;Count,R1C1_4;Count,R1C1_5;Count,R1C1_6;Count,R1C1_7;Count,R1C2_1;Count,R1C2_2;Count,R1C2_3;Count,R1C2_4;Count,R1C2_5;Count,R1C2_6;Count,R1C2_7;Count,R1C3_1;Count,R1C3_2;Count,R1C3_3;Count,R1C3_4;Count,R1C3_5;Count,R1C3_6;Count,R1C3_7;Count,V;Avg,V;Max,V;Min,I;Avg,I;Max,I;Min,T;Avg,addr
2026-07-23 00:00:00,17.342158,17.390707,17.271687,0.028701,60,16.233997,16.282902,16.160830,0.025966,60,14.766613,14.845503,14.708171,0.028759,60,27.261546,27.293816,27.237732,0.012019,60,27.578468,27.606239,27.536812,0.013394,60,27.346465,27.384605,27.328529,0.010972,60,26.529764,26.547226,26.513077,0.007291,60,26.862731,26.876480,26.842789,0.006363,60,26.601297,26.615677,26.583176,0.006488,60,-0.047572,0.006202,-0.137397,0.031314,60,0.073539,0.128996,-0.023177,0.031697,60,-0.049795,-0.005140,-0.125587,0.026561,60,-0.000481,0.000063,-0.001390,0.000317,60,0.000759,0.001331,-0.000239,0.000327,60,-0.000538,-0.000056,-0.001356,0.000287,60,-0.345431,-0.202734,-0.418502,0.044862,60,-178.420436,-178.319534,-178.542694,0.055507,60,-0.274351,-0.174415,-0.350067,0.038697,60,7.470267,7.620837,7.341753,0.055971,60,178.045999,178.177002,177.898590,0.065310,60,0.070572,0.188557,-0.039962,0.053274,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,12.7323,12.92,12.62,96.47,101,93,32.99,2390100
2026-07-23 00:01:00,17.341039,17.404440,17.286945,0.025019,60,16.236693,16.282902,16.191349,0.024928,60,14.779939,14.845503,14.709697,0.032083,60,27.250729,27.280464,27.224380,0.010946,60,27.571793,27.606239,27.550163,0.015151,60,27.338676,27.371254,27.315178,0.013913,60,26.521979,26.545822,26.507339,0.006782,60,26.856109,26.870956,26.838272,0.008194,60,26.594718,26.609512,26.581741,0.005914,60,-0.062946,-0.003339,-0.138828,0.030593,60,0.080624,0.143745,-0.010301,0.030953,60,-0.061426,-0.010950,-0.149944,0.026798,60,-0.000637,-0.000034,-0.001405,0.000310,60,0.000832,0.001483,-0.000106,0.000319,60,-0.000663,-0.000118,-0.001619,0.000289,60,-0.341206,-0.229230,-0.485865,0.048894,60,-178.431032,-178.276382,-178.544220,0.054807,60,-0.264401,-0.173176,-0.338110,0.038128,60,7.477112,7.600227,7.362118,0.056628,60,178.023710,178.191254,177.882004,0.072140,60,0.071923,0.175072,-0.026518,0.046230,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,12.7323,12.84,12.62,96.56,100,93,32.99,2390124
2026-07-23 00:02:00,17.336945,17.390707,17.239643,0.035495,60,16.235294,16.311893,16.174562,0.027786,60,14.768139,14.828717,14.708171,0.028257,60,27.247212,27.267113,27.211029,0.012228,60,27.558886,27.592888,27.536812,0.011508,60,27.330043,27.371254,27.299156,0.013592,60,26.515051,26.535782,26.493973,0.008128,60,26.846110,26.864243,26.831833,0.007473,60,26.585477,26.606064,26.569748,0.008479,60,-0.031773,0.015505,-0.151470,0.033123,60,0.079352,0.132742,-0.034180,0.033517,60,-0.039568,0.000223,-0.119777,0.023362,60,-0.000322,0.000157,-0.001533,0.000335,60,0.000819,0.001370,-0.000353,0.000346,60,-0.000427,0.000002,-0.001294,0.000252,60,-0.339393,-0.256353,-0.444824,0.038870,60,-178.405090,-178.280136,-178.476181,0.044613,60,-0.263606,-0.174415,-0.338110,0.034427,60,7.478942,7.578939,7.343533,0.050704,60,178.043227,178.148987,177.897293,0.053629,60,0.075693,0.188573,-0.039962,0.049707,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,12.7281,12.83,12.66,96.46,101,92,32.98,2390148
2026-07-23 00:03:00,17.337809,17.404440,17.286945,0.028326,60,16.232446,16.266117,16.159304,0.022108,60,14.767808,14.828717,14.708171,0.029057,60,27.237910,27.267113,27.211029,0.013392,60,27.554970,27.579536,27.536812,0.011496,60,27.319183,27.341881,27.285805,0.013169,60,26.506103,26.521683,26.485641,0.008312,60,26.837452,26.851669,26.819351,0.006809,60,26.577540,26.596786,26.562668,0.006233,60,-0.023170,0.019798,-0.127855,0.031423,60,0.088416,0.136253,-0.025752,0.033433,60,-0.042607,0.015642,-0.114860,0.024637,60,-0.000234,0.000200,-0.001294,0.000318,60,0.000912,0.001406,-0.000266,0.000345,60,-0.000460,0.000169,-0.001240,0.000266,60,-0.352485,-0.297688,-0.445447,0.034392,60,-178.425310,-178.315491,-178.545761,0.053766,60,-0.275987,-0.202411,-0.338110,0.031021,60,7.482416,7.603914,7.360330,0.055279,60,178.047567,178.151825,177.854309,0.062192,60,0.067636,0.175168,-0.026518,0.052040,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,12.7293,12.92,12.66,96.61,100,94,32.99,2390173
2026-07-23 00:04:00,17.340404,17.404440,17.268635,0.028545,60,16.228835,16.282902,16.188297,0.025399,60,14.764121,14.828717,14.654764,0.031033,60,27.229499,27.251083,27.211029,0.011019,60,27.545713,27.563515,27.523460,0.010621,60,27.314154,27.355232,27.285805,0.013119,60,26.495967,26.511124,26.481339,0.006545,60,26.826695,26.842758,26.808853,0.007479,60,26.568073,26.582169,26.549667,0.007789,60,-0.020749,0.027193,-0.105433,0.029418,60,0.076906,0.138595,-0.018261,0.033121,60,-0.035125,0.005810,-0.102570,0.023621,60,-0.000210,0.000275,-0.001067,0.000298,60,0.000794,0.001430,-0.000188,0.000342,60,-0.000379,0.000063,-0.001108,0.000255,60,-0.345307,-0.256589,-0.445073,0.045493,60,-178.414163,-178.276382,-178.572540,0.059024,60,-0.269876,-0.174415,-0.350067,0.034284,60,7.476594,7.635662,7.357811,0.056438,60,178.026660,178.191254,177.882965,0.065160,60,0.076203,0.215527,0.000184,0.040502,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,12.7314,12.84,12.66,96.48,102,93,32.98,2390197
2026-07-23 00:05:00,17.332723,17.387655,17.268635,0.029945,60,16.225936,16.296635,16.177614,0.024266,60,14.764909,14.827191,14.705119,0.029474,60,27.222155,27.237732,27.211029,0.009884,60,27.535744,27.563515,27.507439,0.012651,60,27.303473,27.341881,27.285805,0.011426,60,26.488058,26.506363,26.476089,0.006959,60,26.820342,26.828201,26.803116,0.005789,60,26.557318,26.574539,26.545914,0.006473,60,-0.047898,0.003339,-0.137397,0.030982,60,0.088292,0.175818,-0.036287,0.038718,60,-0.050626,-0.009162,-0.122682,0.024409,60,-0.000485,0.000034,-0.001390,0.000314,60,0.000911,0.001814,-0.000374,0.000400,60,-0.000547,-0.000099,-0.001325,0.000264,60,-0.334769,-0.269807,-0.445323,0.041195,60,-178.410289,-178.316589,-178.544220,0.055388,60,-0.270079,-0.161664,-0.350659,0.041728,60,7.485512,7.626390,7.397563,0.054946,60,178.033847,178.177231,177.895996,0.061360,60,0.075711,0.215411,-0.026518,0.050320,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,12.7331,12.82,12.67,96.64,100,95,32.99,2390221
2026-07-23 00:06:00,17.335114,17.419699,17.253376,0.031267,60,16.227614,16.282902,16.159304,0.027119,60,14.762697,14.842450,14.708171,0.028247,60,27.216948,27.237732,27.192337,0.011394,60,27.529602,27.563515,27.494087,0.014184,60,27.296975,27.315178,27.272453,0.011947,60,26.481474,26.497238,26.465744,0.006686,60,26.808358,26.826950,26.788498,0.008568,60,26.550805,26.575180,26.536606,0.008435,60,-0.035804,0.015743,-0.114736,0.033100,60,0.076414,0.121504,-0.042374,0.032305,60,-0.049281,-0.001564,-0.138324,0.026785,60,-0.000362,0.000159,-0.001161,0.000335,60,0.000789,0.001254,-0.000437,0.000333,60,-0.000532,-0.000017,-0.001494,0.000289,60,-0.339631,-0.256353,-0.444327,0.038504,60,-178.414626,-178.252563,-178.530243,0.056224,60,-0.270940,-0.201440,-0.351054,0.037359,60,7.491911,7.582977,7.388587,0.045672,60,178.046572,178.232269,177.924011,0.065698,60,0.072423,0.215508,-0.039820,0.047686,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,12.7306,12.82,12.65,96.63,99,93,32.99,2390245
2026-07-23 00:07:00,17.336436,17.404440,17.268635,0.031443,60,16.225859,16.293583,16.174562,0.025149,60,14.768851,14.827191,14.654764,0.030617,60,27.204798,27.237732,27.178986,0.016318,60,27.518209,27.550163,27.494087,0.011972,60,27.286517,27.315178,27.259102,0.011220,60,26.473719,26.490891,26.451828,0.006764,60,26.802582,26.820450,26.786728,0.007164,60,26.542574,26.552231,26.531204,0.006247,60,-0.053694,0.003578,-0.144553,0.032170,60,0.064619,0.128294,-0.016154,0.028304,60,-0.057173,-0.022793,-0.119106,0.023953,60,-0.000543,0.000036,-0.001463,0.000326,60,0.000667,0.001324,-0.000167,0.000292,60,-0.000617,-0.000246,-0.001286,0.000259,60,-0.340258,-0.256589,-0.418738,0.043227,60,-178.415771,-178.309189,-178.503189,0.047045,60,-0.269469,-0.201763,-0.350659,0.033724,60,7.479250,7.617140,7.356761,0.049165,60,178.021958,178.121246,177.881348,0.052450,60,0.065005,0.175323,-0.067467,0.052755,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,12.7276,12.84,12.62,96.62,100,94,32.99,2390269
2026-07-23 00:08:00,17.327154,17.369345,17.268635,0.026822,60,16.230208,16.279850,16.174562,0.028261,60,14.764248,14.827191,14.686809,0.029159,60,27.194740,27.237732,27.165634,0.014289,60,27.508863,27.536812,27.480736,0.013169,60,27.279129,27.299156,27.259102,0.011130,60,26.465255,26.479294,26.446793,0.007302,60,26.795187,26.815384,26.767990,0.008209,60,26.535301,26.550858,26.519913,0.007637,60,-0.044030,0.002147,-0.118314,0.031504,60,0.049667,0.098093,-0.056889,0.032000,60,-0.050659,-0.008939,-0.136089,0.027020,60,-0.000446,0.000022,-0.001197,0.000319,60,0.000513,0.001012,-0.000587,0.000330,60,-0.000547,-0.000097,-0.001470,0.000292,60,-0.344082,-0.296537,-0.417794,0.033218,60,-178.410379,-178.235123,-178.531799,0.068097,60,-0.276417,-0.201440,-0.351252,0.034887,60,7.474701,7.558726,7.392174,0.043929,60,178.033884,178.190994,177.895355,0.060707,60,0.072124,0.228916,-0.026383,0.047495,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,12.7283,12.92,12.67,96.51,99,94,32.98,2390293
2026-07-23 00:09:00,17.330104,17.401388,17.250324,0.028787,60,16.225452,16.293583,16.156252,0.024799,60,14.758551,14.827191,14.671550,0.031397,60,27.188866,27.224380,27.165634,0.013830,60,27.502054,27.523460,27.464714,0.013224,60,27.274589,27.299156,27.243073,0.013255,60,26.458172,26.477798,26.443344,0.006874,60,26.789393,26.805557,26.770554,0.008004,60,26.525007,26.540817,26.507980,0.006206,60,-0.048168,0.016220,-0.136204,0.033898,60,0.061872,0.119163,-0.033946,0.033614,60,-0.052533,-0.003128,-0.133184,0.030008,60,-0.000487,0.000164,-0.001378,0.000343,60,0.000639,0.001230,-0.000350,0.000347,60,-0.000567,-0.000034,-0.001438,0.000324,60,-0.343686,-0.257456,-0.418738,0.040943,60,-178.414556,-178.300339,-178.530548,0.052121,60,-0.264338,-0.174415,-0.338695,0.035643,60,7.477947,7.618697,7.325964,0.057109,60,178.036425,178.176224,177.919891,0.059239,60,0.076861,0.188654,-0.026383,0.047482,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,12.7286,12.89,12.65,96.56,99,95,32.98,2390319
